address,district,building,"last date",case_id,"matched address (arcGIS)",Score,X,Y,LongLabel,Addr_type
"Heung Hoi Mansion, 28-32 O'Brien Road, Wan Chai","Wan Chai","Heung Hoi Mansion, 28-32 O'Brien Road","2020-02-12 00:00:00",53,"Heung Hoi Mansion, 28-32 O'Brien Road, Wan Chai",100,114.172933,22.27877849,"Heung Hoi Mansion, 28-32 O'Brien Road, Wan Chai, HKG",PointAddress
"Tai Long Wan Village, Southern",Southern,"Tai Long Wan Village","2020-02-13 00:00:00",54,"Da Lang Wan Dao, Shi Ao, Southern",75.24,114.2464314,22.24101358,"Da Lang Wan Dao, Shi Ao, Southern, HKG",StreetName
"233 Wing Lok Street, Central & Western","Central & Western","233 Wing Lok Street","2020-02-13 00:00:00",56,"233 Wing Lok Street, Sheung Wan, Central & Western",100,114.1481915,22.28764571,"233 Wing Lok Street, Sheung Wan, Central & Western, HKG",PointAddress
"Lok Wah Shopping Centre, Lok Wah North Estate, Kwun Tong","Kwun Tong","Lok Wah Shopping Centre, Lok Wah North Estate","2020-02-13 00:00:00",62,"Lok Wah Shopping Centre, Lok Wah North Estate, Chun Wah Road, Ngau Tau Kok, Kwun Tong",100,114.2198355,22.32177221,"Lok Wah Shopping Centre, Lok Wah North Estate, Chun Wah Road, Ngau Tau Kok, Kwun Tong, HKG",PointAddress
"42 Yuk Wah Street, Tsz Wan Shan, Wong Tai Sin","Wong Tai Sin","42 Yuk Wah Street, Tsz Wan Shan","2020-02-13 00:00:00",59,"42 Yuk Wah St, Tsz Wan Shan, Wong Tai Sin",100,114.2013532,22.34718297,"42 Yuk Wah St, Tsz Wan Shan, Wong Tai Sin, HKG",StreetAddress
"Goldfield Mansion, Eastern",Eastern,"Goldfield Mansion","2020-02-13 00:00:00",74,"Goldfield Mansion, 62-68 Java Road, North Point, Eastern",100,114.1982188,22.29175058,"Goldfield Mansion, 62-68 Java Road, North Point, Eastern, HKG",PointAddress
"Kai Tin Shopping Centre, Kwun Tong","Kwun Tong","Kai Tin Shopping Centre","2020-02-13 00:00:00",72,"Kai Tin Shopping Centre, Kai Tin Estate, 50 Kai Tin Road, Lam Tin, Kwun Tong",100,114.234845,22.30868864,"Kai Tin Shopping Centre, Kai Tin Estate, 50 Kai Tin Road, Lam Tin, Kwun Tong, HKG",PointAddress
"Workingberg Commercial Building, Marble Road, Eastern",Eastern,"Workingberg Commercial Building, Marble Road","2020-02-13 00:00:00",85,"Workingberg Commercial Building, 41-47 Marble Road, North Point, Eastern",100,114.2012036,22.29213103,"Workingberg Commercial Building, 41-47 Marble Road, North Point, Eastern, HKG",PointAddress
"5 Sam Shing Street, Tuen Mun","Tuen Mun","5 Sam Shing Street","2020-02-14 00:00:00",63,"5 Sam Shing Street, Tuen Mun",100,113.9789152,22.3801126,"5 Sam Shing Street, Tuen Mun, HKG",PointAddress
"Hiu Lai Court Shopping Centre, Kwun Tong","Kwun Tong","Hiu Lai Court Shopping Centre","2020-02-14 00:00:00",67,APM,85.69,114.22564,22.31246,"APM, Kwun Tong Rd, Kwun Tong, HKG",POI
"The Hong Kong Jockey Club Happy Valley Clubhouse, Wan Chai","Wan Chai","The Hong Kong Jockey Club Happy Valley Clubhouse","2020-02-14 00:00:00",85,"The Hong Kong Jockey Club Happy Valley Clubhouse",100,114.1864,22.26560992,"The Hong Kong Jockey Club Happy Valley Clubhouse, Hawthorn Rd, Happy Valley, Wan Chai, HKG",POI
"Block D, Mount Parker Lodge, 10 Hong Pak Path, Eastern",Eastern,"Block D, Mount Parker Lodge, 10 Hong Pak Path","2020-02-14 00:00:00",52,"Block D, Mount Parker Lodge, 10 Hong Pak Path, Quarry Bay, Eastern",100,114.2127431,22.28171534,"Block D, Mount Parker Lodge, 10 Hong Pak Path, Quarry Bay, Eastern, HKG",PointAddress
"Block D, Mount Parker Lodge, 10 Hong Pak Path, Eastern",Eastern,"Block D, Mount Parker Lodge, 10 Hong Pak Path","2020-02-14 00:00:00",61,"Block D, Mount Parker Lodge, 10 Hong Pak Path, Quarry Bay, Eastern",100,114.2127431,22.28171534,"Block D, Mount Parker Lodge, 10 Hong Pak Path, Quarry Bay, Eastern, HKG",PointAddress
"Yuan Kung Mansion, Tai Koo Shing, Eastern",Eastern,"Yuan Kung Mansion, Tai Koo Shing","2020-02-15 00:00:00",57,"Yuan Kung Mansion",100,114.2165399,22.28643003,"Yuan Kung Mansion, Tai Mou Ave, Tai Koo, Eastern, HKG",POI
